Date;Arrivals to Italy;;;;;;;
3/25/16;0;;;;;;;
3/26/16;0;;;;;;;
3/27/16;0;;;;;;;
3/28/16;0;;;;;;;
3/29/16;730;;;;;;;
3/30/16;2699;;;;;;;
3/31/16;364;;;;;;;
4/1/16;545;;;;;;;
4/2/16;0;;;;;;;
4/3/16;0;;;;;;;
4/4/16;10;;;;;;;
4/5/16;0;;;;;;;
4/6/16;0;;;;;;;
4/7/16;312;;;;;;;
4/8/16;0;;;;;;;
4/9/16;294;;;;;;;
4/10/16;0;;;;;;;
4/11/16;0;;;;;;;
4/12/16;2231;;;;;;;
4/13/16;2044;;;;;;;
4/14/16;1030;;;;;;;
4/15/16;350;;;;;;;
4/16/16;0;;;;;;;
4/17/16;497;;;;;;;
4/18/16;343;;;;;;;
4/19/16;65;;;;;;;
4/20/16;0;;;;;;;
4/21/16;264;;;;;;;
4/22/16;0;;;;;;;
4/23/16;0;;;;;;;
4/24/16;0;;;;;;;
4/25/16;308;;;;;;;
4/26/16;1133;;;;;;;
4/27/16;0;;;;;;;
4/28/16;237;;;;;;;
4/29/16;381;;;;;;;
4/30/16;27;;;;;;;
5/1/16;705;;;;;;;
5/2/16;0;;;;;;;
5/3/16;27;;;;;;;
5/4/16;52;;;;;;;
5/5/16;0;;;;;;;
5/6/16;847;;;;;;;
5/7/16;1651;;;;;;;
5/8/16;0;;;;;;;
5/9/16;0;;;;;;;
5/10/16;32;;;;;;;
5/11/16;12;;;;;;;
5/12/16;0;;;;;;;
5/13/16;1034;;;;;;;
5/14/16;0;;;;;;;
5/15/16;0;;;;;;;
5/16/16;0;;;;;;;
5/17/16;784;;;;;;;
5/18/16;837;;;;;;;
5/19/16;0;;;;;;;
5/20/16;0;;;;;;;
5/21/16;0;;;;;;;
5/22/16;0;;;;;;;
5/23/16;315;;;;;;;
5/24/16;2006;;;;;;;
5/25/16;3268;;;;;;;
5/26/16;2760;;;;;;;
5/27/16;183;;;;;;;
5/28/16;4189;;;;;;;
5/29/16;1806;;;;;;;
5/30/16;1118;;;;;;;
5/31/16;34;;;;;;;
6/1/16;0;;;;;;;
6/2/16;10;;;;;;;
6/3/16;0;;;;;;;
6/4/16;328;;;;;;;
6/5/16;376;;;;;;;
6/6/16;392;;;;;;;
6/7/16;0;;;;;;;
6/8/16;223;;;;;;;
6/9/16;550;;;;;;;
6/10/16;1991;;;;;;;
6/11/16;47;;;;;;;
6/12/16;910;;;;;;;
6/13/16;2044;;;;;;;
6/14/16;257;;;;;;;
6/15/16;482;;;;;;;
6/16/16;173;;;;;;;
6/17/16;555;;;;;;;
6/18/16;0;;;;;;;
6/19/16;38;;;;;;;
6/20/16;0;;;;;;;
6/21/16;0;;;;;;;
6/22/16;53;;;;;;;
6/23/16;0;;;;;;;
6/24/16;2729;;;;;;;
6/25/16;1784;;;;;;;
6/26/16;3263;;;;;;;
6/27/16;0;;;;;;;
6/28/16;3645;;;;;;;
6/29/16;1050;;;;;;;
6/30/16;1344;;;;;;;
7/1/16;711;;;;;;;
7/2/16;0;;;;;;;
7/3/16;338;;;;;;;
7/4/16;54;;;;;;;
7/5/16;461;;;;;;;
7/6/16;2619;;;;;;;
7/7/16;2391;;;;;;;
7/8/16;630;;;;;;;
7/9/16;125;;;;;;;
7/10/16;157;;;;;;;
7/11/16;281;;;;;;;
7/12/16;241;;;;;;;
7/13/16;0;;;;;;;
7/14/16;896;;;;;;;
7/15/16;400;;;;;;;
7/16/16;330;;;;;;;
7/17/16;0;;;;;;;
7/18/16;0;;;;;;;
7/19/16;127;;;;;;;
7/20/16;2604;;;;;;;
7/21/16;1490;;;;;;;
7/22/16;701;;;;;;;
7/23/16;1369;;;;;;;
7/24/16;1866;;;;;;;
7/25/16;252;;;;;;;
7/26/16;0;;;;;;;
7/27/16;694;;;;;;;
7/28/16;233;;;;;;;
7/29/16;577;;;;;;;
7/30/16;2088;;;;;;;
7/31/16;1731;;;;;;;
8/1/16;1.509;;;;;;;
8/2/16;2.589;;;;;;;
8/3/16;706;;;;;;;
8/4/16;418;;;;;;;
8/5/16;10;;;;;;;
8/6/16;643;;;;;;;
8/7/16;58;;;;;;;
8/8/16;601;;;;;;;
8/9/16;0;;;;;;;
8/10/16;0;;;;;;;
8/11/16;498;;;;;;;
8/12/16;679;;;;;;;
8/13/16;0;;;;;;;
8/14/16;0;;;;;;;
8/15/16;0;;;;;;;
8/16/16;0;;;;;;;
8/17/16;49;;;;;;;
8/18/16;303;;;;;;;
8/19/16;76;;;;;;;
8/20/16;654;;;;;;;
8/21/16;1.081;;;;;;;
8/22/16;449;;;;;;;
8/23/16;931;;;;;;;
8/24/16;273;;;;;;;
8/25/16;13;;;;;;;
8/26/16;0;;;;;;;
8/27/16;47;;;;;;;
8/28/16;240;;;;;;;
8/29/16;833;;;;;;;
8/30/16;3.102;;;;;;;
8/31/16;5504;;;;;;;
9/1/16;2.517;;;;;;;
9/2/16;1.583;;;;;;;
9/3/16;1.280;;;;;;;
9/4/16;875;;;;;;;
9/5/16;140;;;;;;;
9/6/16;1060;;;;;;;
9/7/16;1662;;;;;;;
9/8/16;293;;;;;;;
9/9/16;0;;;;;;;
9/10/16;0;;;;;;;
9/11/16;0;;;;;;;
9/12/16;2614;;;;;;;
9/13/16;731;;;;;;;
9/14/16;1179;;;;;;;
9/15/16;121;;;;;;;
9/16/16;971;;;;;;;
9/17/16;317;;;;;;;
9/18/16;0;;;;;;;
9/19/16;47;;;;;;;
9/20/16;0;;;;;;;
9/21/16;0;;;;;;;
